,TITLE,DESCRIPTION,BULLET_POINTS,BRAND,BROWSE_NODE_ID
0,"Pete The Cat Bedtime Blues Doll, 14.5 Inch","Pete the Cat is the coolest, most popular cat in town. The new Pete the Cat Bedtime Blues Doll from MerryMakers rocks his striped pj's and red slippers. He is one sleepy cat and is ready to cuddle. Measures 14.5 inches tall. Safe for all ages. Removable clothing. Surface wash only. New 2015","[Pete the Cat Bedtime Blues plush doll,Based on the popular Pete the Cat books by James Dean,Super cuddly and ready for naptime and bedtime,Safe for all ages, perfect for ages 2 and up,Measures 14. 5 inches]",MerryMakers,0
1,"The New Yorker NYHM014 Refrigerator Magnet, 2 x 3.5",The New Yorker Handsome Cello Wrapped Hard Magnet measures 2.5-Inch width by 3.5-Inch height and highlight one of the many beautiful New Yorker covers in full color. Cat In A Tea Cup by New Yorker cover artist Gurbuz Dogan Eksioglu,"[Cat In A Tea Cup by New Yorker cover artist Gurbuz Dogan Eksioglu,Handsome cello wrapped hard magnet,Ideal for home or office, or for a gift and for any New Yorker magazine lover,It highlight one of the many beautiful New Yorker covers in full color,Rigid magnet measures 2. 5-Inch width by 3. 5-Inch height]",The New Yorker,1
2,"The Ultimate Self-Sufficiency Handbook: A Complete Guide to Baking, Crafts, Gardening, Preserving Your Harvest, Raising Animals and More",,Skyhorse Publishing,imusti,2
3,Amway Nutrilite Kids Chewable Iron Tablets (100),,"[Nutrilite Kids,Chewable Iron Tablets,Quantity 100 tablets]",Amway,3
4,Teacher Planner Company A4 6 Lesson Academic Teacher Planner - Leatherette Pink,,,,4
5,Men'S Full Sleeve Raglan T-Shirts Denim T-Shirt M Size Only,Men'S Full Sleeve Raglan T-Shirts Denim T-Shirt M Size Only,"[Color: Blue,Sleeve: Full Sleeve,Material: Cotton,Neck: Round]",Bhavya Enterprise,5
6,Glance Women's Wallet (Black) (LW-21),"This Black wallet by Glance will be a treasured addition to your accessory collection. Featuring an attractive design, this wallet will definitely lend you a sophisticated look. It is crafted from durable Artificial Leather material and has multiple slots to accommodate essentials like identity card, cash, credit/debit cards and other accessories.","[The Most Comfortable Women's Wallet That You Would'Ve Ever Used! This Textured Finish Wallet Provides Comfort And Support Without Feeling Bulky,Ideal for Girls & Women. Made in Artificial Leather. Size of Wallet When Close Lenth 8 Inches X Height 2 inches X Width 4 inches,Multiple card slots, 2 Id Windows, 2 note compartments and 1 zipper pocket for utility,Design that Women would love.High on utility.Textured finish .Perfect for Casual and Formal use,Ideal Birthday or Anniversary gift.Comes packed in a Without Box]",Glance,6
7,Wild Animals Hungry Brain Educational Flash Cards for Enhancing Early Learning of Your Kids(3 Month to 6 Year),"Wild Animals are the animals that mostly stays in forest and do not require human for their survival, they live on their own, find food for themselves and are flesh eaters. Hungry brain flash cards will help your child learn easily about different wild animals.","[Playful learning: Flash cards develops the love of learning in fun and play manner.,Right brain learning: Flash card learning develops the right brain memory of a baby, the memory stored in the right brain stays for the lifetime.,Grasp Attention & Improve concentration: The Eye-Catching images on the flash cards make learning fun without any barriers. The attractive images interests children to concentrate which improves their concentration power and observational skills.,Parent and child bond: Flash card is a very interesting way to create bond between child and a parent.,Enrich Vocabulary: Learning with flash cards develops and enrich vocabulary in children and also enable the brain to remember the words and images at a speed.]",hungry brain,7
8,Hindi Barakhadi Educational Flash Cards for Kids Enhance Early Learning of Your Kids (3 Months to 6 Years),Hindi vowel signs and sounds are very important for learning the formation of words in Hindi. This signs are individual alphabet which when joined with each other makes words or sentences. Each vowel has 12 different sounds that is why it is called as barakhadi,"[Playful learning: Flash cards develops the love of learning in fun and play manner.,Right brain learning: Flash card learning develops the right brain memory of a baby, the memory stored in the right brain stays for the lifetime.,Grasp Attention & Improve concentration: The Eye-Catching images on the flash cards make learning fun without any barriers. The attractive images interests children to concentrate which improves their concentration power and observational skills.,Parent and child bond: Flash card is a very interesting way to create bond between child and a parent.]",hungry brain,7
9,Chapin 1380 Premier Pro 3-Gallon Tri-Poxy Steel Sprayer for Fertilizer,Chapin 1380 Premier Pro 3-Gallon Tri-Poxy Steel Sprayer For Fertilizer,,Chapin International,9
10,"Slo-Niacin Polygel Controlled-Release Niacin, 750 mg, 100 Tablets",,,,10
11,"White : Braun KF400-WH Aromaster 10-Cup Coffeemaker, White","Color:White Product description 10 Cup Carafe / convenient Swing-out filter / Practical cord Storage / Compact Size / Color: White Practical cord storage helps keep everything looking neat and tidy All pleasures taken to the maximum may result in consequences but the enjoyment of coffee is one pleasure that we can't do without Everyone can enjoy the best cup of coffee with this affordable Aromaster from Braun Amazon.com Thanks to a system that quickly saturates ground coffee and a sealed carafe that minimizes evaporation, this 10-cup coffeemaker delivers full-flavored coffee that doesn't turn bitter while it's on the warming plate. The water-dispersal system ensures rapid, uniform saturation, and the plastic carafe has a spout that automatically opens for pouring and then shuts tightly, combining with the sealed lid to prevent evaporation. Other features include a coffee-flow shutoff if the carafe is removed for a quick pour during the brewing cycle; a swing-out filter basket that can be removed for cleaning; a flip-top lid on the water tank; and cord storage in the rear. This model comes clad in bright white plastic and carries a one-year warranty against defects. --Fred Brack","[Water-dispersal system provides fast, uniform saturation of coffee, full flavor,Plastic carafe's lid seals to minimize evaporation,Pour a cup midbrew with convenient brew-pause feature,Swing-out filter basket; flip-top water-tank lid,Measures 12 by 6 by 11 inches; 1-year warranty]",Braun,11
12,Yamaha PCMSKIT Portable Electronic Keyboard Adapter with PC Joystick to MIDI Cable,,"[Software teaches you how to play, read music, and record MIDI files,Keyboard lessons, musical games, songbook, and MIDI tutorial included,Turns your multimedia PC into a MIDI recording studio,Easy to create, modify, compose, and print MIDI files,Compatible with all Yamaha general MIDI keyboards]",YAMAHA,12
13,Microsoft Sidewinder Gamepad Pro,,Dual-function D-Pad for comfortable control - Save and download programmed game commands into game-specific controller profiles - 8 programmable buttons including two triggers - Shift button doubles the functionality of buttons - Easy plug-and-play USB connection,Microsoft,13
14,"Jiffy Steamer with Plastic Steam Head (Beige, 120V)","Jiffy J-2000 clothes steamer, 1300 watts, with plastic steam head. Similar to the J-2 model, but with updated design and ergonomics Quick 2-minute heat-up time, high-impact polymer outer housing, 1300 watt heating element die cast in solid brass, 50/60 Hertz electrical system, low profile, easy-to-handle water reservoir, new ""no spill"" check valve cap for easy filling, over 1.5 hours of steam per filling, color-coded high temperature wiring, fusible link with automatic shut-off for safety, 360 degree swivel casters for mobility, assembly wrench included. Made in the USA.","[1300 watt solid brass heating element (120 volt for North America use only),High-impact plastic outer housing for durability,Quick two minute heat-up time,1.5 Hour steam time per filling,5.5-foot hose with 6-inch steam head,3 Year Warranty]",Jiffy,14
15,YASHICA Open Box OPTICAL OPTICAL Zoomate 140 35mm Camera Kit,,"[A precise and fast zoom lens for sharpness and clarity and built-in automation to make certain that you get the best pictures with virtually no effort,Selectable Quartz Data Back for printing day or date on exposure,5-Beam passive automatic focus,Real-Image zoom viewfinder,38mm to 140mm zoom lens covers wide-angle to telephoto perspectives for exceptional versatility]",,15
16,OXO Good Grips BPA-Free Turkey Baster with Cleaning Brush,<b>OXO Good Grips Turkey Baster</b><br><br><ul><li>Unique collar-and-bulb design for two comfortable grip options</li><li>Flat bulb prevents rolling</li><li>Crack-resistant plastic constructed for high heat</li><lI>Standard and metric measurement markings</li><li>Dishwasher-safe; includes wire cleaning brush</li></ul>,"[Unique bulb shape and collar for two comfortable grip options,Flat bulb prevents rolling,Crack resistant, high heat plastic,Easy to read standard and metric measurement markings,Top-rack dishwasher safe; BPA-free]",OXO,16
17,Sony VAIO RoomLink Network Media Receiver (PCNA-MR10),,"[Use RoomLInk media receiver to Record Live TV from your living room,From your TV, view digital photos and videos recorded with Giga Pocket personal video recorder,Listen to your PC's music collection on your home stereo system]",Sony,17
18,Westcott 5684 5 x 6 Feet Collapsible Backdrop (Costa Brava Blue/Canberra),Westcott offers many styles and colors of quality backgrounds that offer quick set-up and takedown for versatility and easy portability. We have both Collapsible Illuminator Backgrounds and sheet backgrounds. Both of these styles come in hand-painted muslin and Chroma-Key fabrics.,"[Effortlessly opens and collapses in seconds,Be it the office or at home, you can transform an unorganized space into a professional environment with the perfect background,These back drops offer a high-end look]",Westcott,18
